Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,33,4,Some Random Commen with Id 0
1,0,3,113,0,Some Random Commen with Id 1
2,0,3,96,7,Some Random Commen with Id 2
3,0,3,98,1,Some Random Commen with Id 3
4,1,8,198,7,Some Random Commen with Id 4
5,1,8,162,7,Some Random Commen with Id 5
6,1,8,105,8,Some Random Commen with Id 6
7,1,8,94,8,Some Random Commen with Id 7
8,1,8,40,5,Some Random Commen with Id 8
9,1,8,48,3,Some Random Commen with Id 9
10,1,8,134,2,Some Random Commen with Id 10
11,1,8,191,0,Some Random Commen with Id 11
12,1,8,90,7,Some Random Commen with Id 12
13,2,0,126,3,Some Random Commen with Id 13
14,2,0,36,8,Some Random Commen with Id 14
15,2,0,122,8,Some Random Commen with Id 15
16,2,0,94,1,Some Random Commen with Id 16
17,3,7,36,0,Some Random Commen with Id 17
18,3,7,16,0,Some Random Commen with Id 18
19,3,7,48,4,Some Random Commen with Id 19
20,3,7,34,1,Some Random Commen with Id 20
21,3,7,26,5,Some Random Commen with Id 21
22,3,7,76,5,Some Random Commen with Id 22
23,3,7,105,5,Some Random Commen with Id 23
24,3,7,57,7,Some Random Commen with Id 24
25,3,7,117,2,Some Random Commen with Id 25
26,4,6,32,4,Some Random Commen with Id 26
27,4,6,17,5,Some Random Commen with Id 27
28,4,6,139,0,Some Random Commen with Id 28
29,4,6,73,2,Some Random Commen with Id 29
30,4,6,28,0,Some Random Commen with Id 30
31,4,6,81,0,Some Random Commen with Id 31
32,4,6,180,6,Some Random Commen with Id 32
33,5,7,63,6,Some Random Commen with Id 33
34,5,7,49,2,Some Random Commen with Id 34
35,6,3,70,5,Some Random Commen with Id 35
36,7,1,123,1,Some Random Commen with Id 36
37,8,7,194,9,Some Random Commen with Id 37
38,9,7,181,4,Some Random Commen with Id 38
39,9,7,41,8,Some Random Commen with Id 39
40,9,7,40,6,Some Random Commen with Id 40
41,9,7,166,7,Some Random Commen with Id 41
42,9,7,13,4,Some Random Commen with Id 42
43,9,7,77,2,Some Random Commen with Id 43
44,10,2,27,6,Some Random Commen with Id 44
45,10,2,163,5,Some Random Commen with Id 45
46,10,2,81,0,Some Random Commen with Id 46
47,10,2,84,3,Some Random Commen with Id 47
48,10,2,191,1,Some Random Commen with Id 48
49,10,2,81,4,Some Random Commen with Id 49
50,11,3,142,3,Some Random Commen with Id 50
51,11,3,81,6,Some Random Commen with Id 51
52,11,3,46,8,Some Random Commen with Id 52
53,11,3,164,0,Some Random Commen with Id 53
54,11,3,53,1,Some Random Commen with Id 54
55,12,5,174,7,Some Random Commen with Id 55
56,12,5,115,1,Some Random Commen with Id 56
57,12,5,176,7,Some Random Commen with Id 57
58,14,7,83,0,Some Random Commen with Id 58
59,14,7,145,4,Some Random Commen with Id 59
60,14,7,36,0,Some Random Commen with Id 60
61,14,7,151,4,Some Random Commen with Id 61
62,14,7,134,5,Some Random Commen with Id 62
63,14,7,58,5,Some Random Commen with Id 63
64,14,7,1,1,Some Random Commen with Id 64
65,14,7,127,9,Some Random Commen with Id 65
66,15,8,107,5,Some Random Commen with Id 66
67,15,8,112,8,Some Random Commen with Id 67
68,16,1,194,4,Some Random Commen with Id 68
69,16,1,154,4,Some Random Commen with Id 69
70,16,1,75,5,Some Random Commen with Id 70
71,16,1,118,9,Some Random Commen with Id 71
72,16,1,22,0,Some Random Commen with Id 72
73,16,1,48,5,Some Random Commen with Id 73
74,16,1,78,5,Some Random Commen with Id 74
75,17,2,159,9,Some Random Commen with Id 75
76,17,2,170,8,Some Random Commen with Id 76
77,17,2,104,7,Some Random Commen with Id 77
78,18,2,180,5,Some Random Commen with Id 78
79,18,2,21,9,Some Random Commen with Id 79
80,18,2,7,1,Some Random Commen with Id 80
81,18,2,33,6,Some Random Commen with Id 81
82,18,2,94,5,Some Random Commen with Id 82
83,20,9,71,5,Some Random Commen with Id 83
84,20,9,88,8,Some Random Commen with Id 84
85,20,9,183,0,Some Random Commen with Id 85
86,20,9,171,3,Some Random Commen with Id 86
